player_id,player_name,team,position,sub_position,lineup_position,age,squad_selections,games_played,minutes_played,goals,assists,yellow_cards,red_cards,market_value_eur,height_cm,nationality,preferred_foot,highest_market_value_in_eur,contract_expiration_date
255508,Iñaki Williams,Athletic Bilbao,Attack,Right Winger,Right Winger,31,17,0,0,0,0,0,0,25000000,186.0,Ghana,right,50000000.0,2028-06-30 00:00:00
524000,Dani Vivian,Athletic Bilbao,Defender,Centre-Back,Centre-Back,25,17,0,0,0,0,0,0,25000000,184.0,Spain,right,25000000.0,2032-06-30 00:00:00
404839,Andriy Lunin,Real Madrid,Goalkeeper,Goalkeeper,Goalkeeper,26,15,0,0,0,0,0,0,25000000,191.0,Ukraine,right,25000000.0,2025-06-30 00:00:00
591916,Aitor Paredes,Athletic Bilbao,Defender,Centre-Back,Centre-Back,25,17,0,0,0,0,0,0,22000000,185.0,Spain,right,22000000.0,2029-06-30 00:00:00
291417,Ferland Mendy,Real Madrid,Defender,Left-Back,Left-Back,30,10,0,0,0,0,0,0,22000000,180.0,France,left,50000000.0,2025-06-30 00:00:00
345911,Ladislav Krejci,Girona,Defender,Centre-Back,Centre-Back,26,11,28,2439,2,1,9,0,22000000,191.0,Czech Republic,left,22000000.0,2026-06-30 00:00:00
361914,Nayef Aguerd,Real Sociedad,Defender,Centre-Back,Centre-Back,29,14,21,1763,0,0,4,0,22000000,190.0,Morocco,left,38000000.0,2030-06-30 00:00:00
328480,Pepelu,Valencia,Midfield,Defensive Midfield,Defensive Midfield,26,20,0,0,0,0,0,0,22000000,186.0,Spain,right,22000000.0,2028-06-30 00:00:00
282411,Marcos Llorente,Atletico Madrid,Defender,Right-Back,Right-Back,30,16,33,2513,2,4,0,1,22000000,184.0,Spain,right,80000000.0,2027-06-30 00:00:00
250845,José María Giménez,Atletico Madrid,Defender,Centre-Back,Centre-Back,30,21,0,0,0,0,0,0,22000000,185.0,Uruguay,right,70000000.0,2028-06-30 00:00:00
59016,David Alaba,Real Madrid,Defender,Centre-Back,Left-Back,33,1,0,0,0,0,0,0,20000000,180.0,Austria,left,65000000.0,2026-06-30 00:00:00
